Jefferson, Georgia,102880.0,36
Bath, Virginia,185802.0,3
Jefferson, Washington,627444.0,28
Sussex, Virginia,161856.0,16
Cape May, New Jersey,639298.0,0
Loudon, Tennessee,393598.0,76
Jones, Texas,121740.0,5
Pulaski, Arkansas,186366.0,412
Berrien, Michigan,254561.0,137
Hickory, Missouri,157144.0,3
Rock, Minnesota,202578.0,4
Johnson, Texas,344971.0,189
Morrow, Oregon,278268.0,28
Frederick, Maryland,465360.0,156
Emanuel, Georgia,112563.0,4
Wright, Iowa,110834.0,2
Madison, Missouri,136912.0,11
Cherokee, Iowa,142520.0,4
Iron, Missouri,124043.0,4
Sac, Iowa,129659.0,8
Lincoln, Colorado,222937.0,2
Allen, Indiana,212108.0,167
Lauderdale, Alabama,189292.0,37
Marion, South Carolina,113615.0,91
Escambia, Florida,261302.0,1400
Sauk, Wisconsin,277191.0,33
Washington, Vermont,360950.0,0
Ware, Georgia,121409.0,92
Howard, Iowa,144430.0,1
Mineral, Colorado,416526.0,1
Orange, California,1047950.0,271
Erie, New York,252286.0,49
Lorain, Ohio,219701.0,55
York, South Carolina,378675.0,356
Shasta, California,376011.0,527
Kenosha, Wisconsin,277344.0,89
Wayne, Ohio,446497.0,66
Hopkins, Texas,195469.0,36
Johnson, Arkansas,146972.0,37
Minidoka, Idaho,299696.0,19
Grainger, Tennessee,205421.0,42
Juab, Utah,442919.0,6
Cascade, Montana,300479.0,29
Auglaize, Ohio,213295.0,6
Lee, South Carolina,120370.0,60
Atlantic, New Jersey,315577.0,1
Baldwin, Alabama,373853.0,163
Hanover, Virginia,387159.0,101
Boone, Arkansas,180480.0,199
Summers, West Virginia,90445.0,18
Humboldt, California,489007.0,273
Morgan, Alabama,218157.0,143
Shelby, Kentucky,299386.0,21
Lawrence, Arkansas,94738.0,12
Hill, Montana,300505.0,37
Schenectady, New York,247716.0,0
De Kalb, Indiana,213046.0,10
Tallapoosa, Alabama,197820.0,21
Schoharie, New York,198020.0,6
Pike, Ohio,156900.0,33
Washington, Georgia,128311.0,12
Randolph, Arkansas,120735.0,33
Karnes, Texas,189589.0,13
Hood River, Oregon,680042.0,10
Atchison, Kansas,133852.0,6
Green, Wisconsin,252389.0,3
Custer, Oklahoma,156010.0,22
Johnson, Kentucky,110562.0,3
Maury, Tennessee,412122.0,171
Saline, Kansas,181360.0,20
Barron, Wisconsin,242913.0,4
Mcduffie, Georgia,185457.0,37
Volusia, Florida,351557.0,589
Rock, Wisconsin,209062.0,49
Knox, Ohio,233592.0,56
Sutter, California,444840.0,87
Cattaraugus, New York,133740.0,39
Douglas, Washington,535450.0,18
Montezuma, Colorado,390529.0,17
Appanoose, Iowa,104119.0,17
Roberts, South Dakota,214040.0,3
Mower, Minnesota,179625.0,9
Fayette, Ohio,174315.0,37
Glenn, California,382922.0,81
Benton, Arkansas,348646.0,125
Jasper, Missouri,194967.0,139
Saline, Illinois,83281.0,20
Adair, Kentucky,137960.0,0
Carroll, Illinois,131766.0,2
Adams, Wisconsin,204199.0,20
Alamosa, Colorado,275995.0,2
Kingman, Kansas,129911.0,7
Brooks, Texas,88479.0,1
Kearney, Nebraska,223474.0,5
Crane, Texas,184827.0,0
Santa Fe, New Mexico,539147.0,74
Tuolumne, California,407877.0,173
Tuscola, Michigan,146816.0,47
Chesterfield, South Carolina,156363.0,146
Logan, Kentucky,148382.0,15
Rabun, Georgia,343576.0,15
Centre, Pennsylvania,318779.0,0
Charles, Maryland,423296.0,497
Door, Wisconsin,337263.0,8
Outagamie, Wisconsin,278279.0,20
Gallatin, Montana,670059.0,103
Dubuque, Iowa,246149.0,16
Grimes, Texas,290970.0,27
Northampton, Pennsylvania,318487.0,0
Franklin, Vermont,330640.0,26
Polk, Texas,187106.0,82
Dodge, Nebraska,209875.0,9
Cheboygan, Michigan,210731.0,23
Floyd, Texas,71504.0,11
Bent, Colorado,108079.0,11
Wood, Ohio,236759.0,26
Hunt, Texas,302299.0,148
Uintah, Utah,326451.0,40
Cowley, Kansas,111574.0,23
Carroll, Tennessee,137364.0,47
Kent, Maryland,312064.0,7
Yakima, Washington,337645.0,148
San Juan, New Mexico,214012.0,609
Lake, California,349066.0,221
Hardin, Texas,250217.0,52
Stevens, Washington,377353.0,22
Neosho, Kansas,103250.0,9
Grant, Minnesota,189846.0,1
Hawaii, Hawaii,602647.0,508
Nye, Nevada,378320.0,61
Texas, Oklahoma,148656.0,2
Stafford, Kansas,88940.0,4
Canyon, Idaho,408074.0,94
Lane, Oregon,461334.0,331
Sumter, Florida,438197.0,259
Decatur, Georgia,152720.0,46
Chouteau, Montana,221675.0,0
Kimble, Texas,269837.0,3
Madison, Florida,168283.0,158
Mason, Michigan,215292.0,36
Alcona, Michigan,166210.0,13
Howard, Missouri,175442.0,10
Niagara, New York,211359.0,59
Jackson, Georgia,374314.0,72
Hancock, Maine,365605.0,4
Bennington, Vermont,334551.0,1
Calhoun, Florida,160733.0,22
Buffalo, Wisconsin,194768.0,11
Robertson, Kentucky,146756.0,0
Coffee, Georgia,156086.0,107
Wapello, Iowa,101684.0,22
Delta, Colorado,392117.0,20
Dickinson, Michigan,149111.0,2
Churchill, Nevada,385350.0,26
Pacific, Washington,321864.0,26
Gibson, Tennessee,140843.0,75
Dawson, Nebraska,167696.0,14
Nelson, Virginia,326804.0,25
Northampton, Virginia,255343.0,7
Iron, Michigan,124596.0,5
Dodge, Wisconsin,238437.0,41
Coffee, Tennessee,269746.0,77
Stone, Missouri,268048.0,78
Grant, New Mexico,183829.0,18
Lake, Illinois,322140.0,101
Polk, Wisconsin,275726.0,28
Hudson, New Jersey,587195.0,0
