table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
"Annual Estimates of the Resident Population for Counties in the United States:
 April 1, 2020 to July 1, 2021",,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),
".Tift County, Georgia","41,344","41,348","41,212"
".Toombs County, Georgia","27,030","27,052","26,911"
".Towns County, Georgia","12,493","12,539","12,875"
".Treutlen County, Georgia","6,406","6,390","6,306"
".Troup County, Georgia","69,426","69,388","69,720"
".Turner County, Georgia","9,006","8,971","8,966"
".Twiggs County, Georgia","8,022","7,986","7,856"
".Union County, Georgia","24,632","24,766","25,521"
".Upson County, Georgia","27,700","27,712","27,720"
".Walker County, Georgia","67,654","67,711","68,510"
".Walton County, Georgia","96,673","97,135","99,853"
".Ware County, Georgia","36,251","36,218","36,033"
".Warren County, Georgia","5,215","5,205","5,240"
".Washington County, Georgia","19,988","19,927","19,785"
".Wayne County, Georgia","30,144","30,155","30,380"
".Webster County, Georgia","2,348","2,350","2,367"
".Wheeler County, Georgia","7,471","7,430","7,471"
".White County, Georgia","28,003","28,090","28,442"
".Whitfield County, Georgia","102,864","102,727","102,848"
".Wilcox County, Georgia","8,766","8,731","8,739"
".Wilkes County, Georgia","9,565","9,556","9,513"
".Wilkinson County, Georgia","8,877","8,844","8,831"
".Worth County, Georgia","20,784","20,719","20,554"
".Hawaii County, Hawaii","200,629","200,746","202,906"
".Honolulu County, Hawaii","1,016,508","1,013,227","1,000,890"
".Kalawao County, Hawaii",82,82,82
".Kauai County, Hawaii","73,298","73,201","73,454"
".Maui County, Hawaii","164,754","164,655","164,221"
".Ada County, Idaho","494,967","497,984","511,931"
".Adams County, Idaho","4,379","4,424","4,625"
".Bannock County, Idaho","87,018","87,177","88,263"
".Bear Lake County, Idaho","6,372","6,370","6,545"
".Benewah County, Idaho","9,530","9,576","9,931"
".Bingham County, Idaho","47,992","48,068","48,876"
".Blaine County, Idaho","24,272","24,327","24,766"
".Boise County, Idaho","7,610","7,647","8,094"
".Bonner County, Idaho","47,110","47,390","49,491"
".Bonneville County, Idaho","123,964","124,626","127,930"
".Boundary County, Idaho","12,056","12,113","12,561"
".Butte County, Idaho","2,574","2,577","2,654"
".Camas County, Idaho","1,077","1,089","1,139"
".Canyon County, Idaho","231,105","232,714","243,115"
".Caribou County, Idaho","7,027","7,015","7,111"
".Cassia County, Idaho","24,655","24,699","25,164"
".Clark County, Idaho",790,792,792
".Clearwater County, Idaho","8,734","8,750","8,895"
".Custer County, Idaho","4,275","4,266","4,428"
".Elmore County, Idaho","28,666","28,668","28,827"
".Franklin County, Idaho","14,194","14,269","14,666"
".Fremont County, Idaho","13,388","13,404","13,592"
".Gem County, Idaho","19,123","19,258","19,792"
".Gooding County, Idaho","15,598","15,643","15,772"
".Idaho County, Idaho","16,541","16,561","17,040"
".Jefferson County, Idaho","30,891","31,055","32,202"
".Jerome County, Idaho","24,237","24,222","24,662"
".Kootenai County, Idaho","171,362","172,646","179,789"
".Latah County, Idaho","39,517","39,611","40,313"
".Lemhi County, Idaho","7,974","7,948","8,162"
".Lewis County, Idaho","3,533","3,531","3,715"
".Lincoln County, Idaho","5,127","5,133","5,282"
".Madison County, Idaho","52,913","52,876","53,881"
".Minidoka County, Idaho","21,613","21,674","21,955"
".Nez Perce County, Idaho","42,090","42,088","42,454"
".Oneida County, Idaho","4,564","4,554","4,611"
".Owyhee County, Idaho","11,913","11,978","12,336"
".Payette County, Idaho","25,386","25,589","26,350"
".Power County, Idaho","7,878","7,879","7,950"
".Shoshone County, Idaho","13,169","13,189","13,612"
".Teton County, Idaho","11,630","11,731","12,267"
".Twin Falls County, Idaho","90,046","90,279","92,243"
".Valley County, Idaho","11,746","11,838","12,241"
".Washington County, Idaho","10,500","10,544","10,898"
".Adams County, Illinois","65,737","65,530","64,954"
".Alexander County, Illinois","5,240","5,168","5,030"
".Bond County, Illinois","16,725","16,663","16,596"
".Boone County, Illinois","53,448","53,326","53,159"
".Brown County, Illinois","6,244","6,217","6,421"
".Bureau County, Illinois","33,244","33,118","32,883"
".Calhoun County, Illinois","4,437","4,411","4,369"
".Carroll County, Illinois","15,702","15,664","15,698"
".Cass County, Illinois","13,042","12,956","12,773"
".Champaign County, Illinois","205,865","205,469","205,943"
".Christian County, Illinois","34,032","33,900","33,662"
".Clark County, Illinois","15,455","15,407","15,300"
".Clay County, Illinois","13,288","13,267","13,143"
".Clinton County, Illinois","36,899","36,896","36,793"
".Coles County, Illinois","46,863","46,737","46,765"
".Cook County, Illinois","5,275,541","5,262,741","5,173,146"
".Crawford County, Illinois","18,679","18,639","18,659"
".Cumberland County, Illinois","10,450","10,428","10,345"
".DeKalb County, Illinois","100,420","100,233","100,414"
".De Witt County, Illinois","15,516","15,441","15,341"
".Douglas County, Illinois","19,740","19,742","19,722"
".DuPage County, Illinois","932,877","931,153","924,885"
".Edgar County, Illinois","16,866","16,755","16,520"
".Edwards County, Illinois","6,245","6,205","6,075"
".Effingham County, Illinois","34,668","34,614","34,430"
".Fayette County, Illinois","21,488","21,460","21,384"
".Ford County, Illinois","13,534","13,533","13,511"
".Franklin County, Illinois","37,804","37,636","37,442"
".Fulton County, Illinois","33,609","33,440","33,197"
".Gallatin County, Illinois","4,946","4,947","4,903"
".Greene County, Illinois","11,985","11,915","11,843"
".Grundy County, Illinois","52,533","52,514","52,989"
".Hamilton County, Illinois","7,993","7,977","7,911"
".Hancock County, Illinois","17,620","17,552","17,400"
".Hardin County, Illinois","3,649","3,634","3,650"
".Henderson County, Illinois","6,387","6,339","6,312"
".Henry County, Illinois","49,284","49,138","48,907"
".Iroquois County, Illinois","27,077","26,984","26,827"
".Jackson County, Illinois","52,974","52,896","52,565"
".Jasper County, Illinois","9,287","9,247","9,193"
".Jefferson County, Illinois","37,113","37,029","36,877"
".Jersey County, Illinois","21,512","21,444","21,333"
".Jo Daviess County, Illinois","22,035","22,035","21,939"
".Johnson County, Illinois","13,308","13,307","13,463"
".Kane County, Illinois","516,522","516,155","515,588"
".Kankakee County, Illinois","107,502","107,236","106,601"
".Kendall County, Illinois","131,869","132,291","134,867"
".Knox County, Illinois","49,967","49,736","49,268"
".Lake County, Illinois","714,342","713,217","711,239"
".LaSalle County, Illinois","109,658","109,359","108,965"
".Lawrence County, Illinois","15,280","15,234","15,152"
".Lee County, Illinois","34,145","34,021","34,049"
".Livingston County, Illinois","35,815","35,752","35,664"
".Logan County, Illinois","27,987","27,879","27,992"
".McDonough County, Illinois","27,238","27,079","26,828"
".McHenry County, Illinois","310,229","309,770","311,122"
".McLean County, Illinois","170,954","170,870","170,889"
".Macon County, Illinois","103,998","103,647","102,432"
".Macoupin County, Illinois","44,967","44,810","44,406"
".Madison County, Illinois","265,859","265,498","264,490"
".Marion County, Illinois","37,729","37,613","37,390"
".Marshall County, Illinois","11,742","11,691","11,663"
".Mason County, Illinois","13,086","13,026","12,881"
".Massac County, Illinois","14,169","14,125","13,960"
".Menard County, Illinois","12,297","12,265","12,164"
".Mercer County, Illinois","15,699","15,633","15,582"
".Monroe County, Illinois","34,962","34,898","34,932"
".Montgomery County, Illinois","28,288","28,157","28,084"
".Morgan County, Illinois","32,915","32,798","32,606"
".Moultrie County, Illinois","14,526","14,486","14,510"
".Ogle County, Illinois","51,788","51,678","51,449"
".Peoria County, Illinois","181,830","181,225","179,432"
".Perry County, Illinois","20,945","20,880","20,985"
".Piatt County, Illinois","16,673","16,654","16,753"
".Pike County, Illinois","14,739","14,633","14,618"
".Pope County, Illinois","3,763","3,744","3,779"
".Pulaski County, Illinois","5,193","5,161","5,065"
".Putnam County, Illinois","5,637","5,635","5,566"
".Randolph County, Illinois","30,163","30,055","30,142"
".Richland County, Illinois","15,813","15,803","15,796"
".Rock Island County, Illinois","144,672","144,267","142,909"
".St. Clair County, Illinois","257,400","256,789","254,796"
".Saline County, Illinois","23,768","23,634","23,320"
".Sangamon County, Illinois","196,343","196,012","194,734"
".Schuyler County, Illinois","6,902","6,875","6,843"
".Scott County, Illinois","4,949","4,927","4,836"
".Shelby County, Illinois","20,990","20,900","20,789"
".Stark County, Illinois","5,400","5,391","5,294"
".Stephenson County, Illinois","44,630","44,457","44,021"
".Tazewell County, Illinois","131,343","131,018","130,413"
".Union County, Illinois","17,244","17,179","16,923"
".Vermilion County, Illinois","74,188","73,883","73,095"
".Wabash County, Illinois","11,361","11,316","11,202"
".Warren County, Illinois","16,835","16,777","16,531"
".Washington County, Illinois","13,761","13,711","13,655"
".Wayne County, Illinois","16,179","16,121","15,963"
".White County, Illinois","13,877","13,808","13,784"
".Whiteside County, Illinois","55,691","55,509","55,305"
".Will County, Illinois","696,355","695,903","697,252"
".Williamson County, Illinois","67,153","67,094","66,879"
".Winnebago County, Illinois","285,350","284,858","283,119"
".Woodford County, Illinois","38,467","38,395","38,225"
".Adams County, Indiana","35,809","35,826","35,961"
".Allen County, Indiana","385,410","385,892","388,608"
".Bartholomew County, Indiana","82,208","82,157","82,475"
".Benton County, Indiana","8,719","8,712","8,714"
".Blackford County, Indiana","12,112","12,098","12,091"
".Boone County, Indiana","70,812","71,169","73,052"
".Brown County, Indiana","15,475","15,470","15,552"
".Carroll County, Indiana","20,306","20,307","20,444"
".Cass County, Indiana","37,870","37,771","37,563"
".Clark County, Indiana","121,093","121,282","122,738"
".Clay County, Indiana","26,466","26,432","26,410"
".Clinton County, Indiana","33,190","33,151","33,065"
".Crawford County, Indiana","10,526","10,540","10,514"
".Daviess County, Indiana","33,381","33,391","33,397"
".Dearborn County, Indiana","50,679","50,726","50,816"
".Decatur County, Indiana","26,472","26,477","26,320"
".DeKalb County, Indiana","43,265","43,274","43,333"
".Delaware County, Indiana","111,903","111,669","111,871"
".Dubois County, Indiana","43,637","43,604","43,549"
".Elkhart County, Indiana","207,047","206,842","206,921"
".Fayette County, Indiana","23,398","23,333","23,360"
".Floyd County, Indiana","80,484","80,437","80,454"
".Fountain County, Indiana","16,479","16,470","16,427"
".Franklin County, Indiana","22,785","22,767","22,842"
".Fulton County, Indiana","20,480","20,434","20,386"
".Gibson County, Indiana","33,011","33,021","32,924"
".Grant County, Indiana","66,674","66,446","66,263"
".Greene County, Indiana","30,803","30,790","30,786"
".Hamilton County, Indiana","347,467","348,868","356,650"
".Hancock County, Indiana","79,840","80,156","81,789"
".Harrison County, Indiana","39,654","39,652","39,761"
".Hendricks County, Indiana","174,788","175,528","179,355"
".Henry County, Indiana","48,914","48,885","48,935"
".Howard County, Indiana","83,658","83,619","83,687"
".Huntington County, Indiana","36,662","36,599","36,717"
".Jackson County, Indiana","46,428","46,373","46,067"
".Jasper County, Indiana","32,918","32,906","33,091"
".Jay County, Indiana","20,478","20,456","20,248"
".Jefferson County, Indiana","33,147","33,075","33,141"
".Jennings County, Indiana","27,613","27,564","27,409"
".Johnson County, Indiana","161,765","162,180","164,298"
".Knox County, Indiana","36,282","36,244","35,956"
".Kosciusko County, Indiana","80,240","80,050","80,106"
".LaGrange County, Indiana","40,446","40,515","40,524"
".Lake County, Indiana","498,700","498,597","498,558"
".LaPorte County, Indiana","112,417","112,222","112,390"
".Lawrence County, Indiana","45,011","45,022","45,070"
".Madison County, Indiana","130,129","130,065","130,782"
".Marion County, Indiana","977,203","976,770","971,102"
".Marshall County, Indiana","46,095","46,018","46,121"
".Martin County, Indiana","9,812","9,786","9,780"
".Miami County, Indiana","35,962","35,924","36,081"
".Monroe County, Indiana","139,718","139,517","139,875"
".Montgomery County, Indiana","37,936","37,932","38,063"
".Morgan County, Indiana","71,780","71,802","72,206"
".Newton County, Indiana","13,830","13,796","13,808"
".Noble County, Indiana","47,457","47,379","47,227"
".Ohio County, Indiana","5,940","5,930","5,978"
".Orange County, Indiana","19,867","19,839","19,830"
".Owen County, Indiana","21,321","21,298","21,446"
".Parke County, Indiana","16,156","16,154","16,407"
".Perry County, Indiana","19,170","19,150","19,316"
".Pike County, Indiana","12,250","12,233","12,144"
".Porter County, Indiana","173,215","173,256","174,243"
".Posey County, Indiana","25,222","25,161","25,116"
".Pulaski County, Indiana","12,514","12,488","12,339"
".Putnam County, Indiana","36,726","36,666","36,979"
".Randolph County, Indiana","24,502","24,375","24,387"
".Ripley County, Indiana","28,995","28,980","29,081"
".Rush County, Indiana","16,752","16,744","16,672"
".St. Joseph County, Indiana","272,912","272,549","272,212"
".Scott County, Indiana","24,384","24,336","24,355"
".Shelby County, Indiana","45,055","45,026","45,039"
".Spencer County, Indiana","19,810","19,820","19,798"
".Starke County, Indiana","23,371","23,356","23,372"
".Steuben County, Indiana","34,435","34,440","34,632"
".Sullivan County, Indiana","20,817","20,803","20,758"
".Switzerland County, Indiana","9,737","9,724","9,790"
".Tippecanoe County, Indiana","186,251","186,247","187,076"
".Tipton County, Indiana","15,359","15,365","15,372"
".Union County, Indiana","7,087","7,090","7,047"
".Vanderburgh County, Indiana","180,136","180,158","179,987"
".Vermillion County, Indiana","15,439","15,388","15,341"
".Vigo County, Indiana","106,153","106,007","105,994"
".Wabash County, Indiana","30,976","30,888","30,816"
".Warren County, Indiana","8,440","8,413","8,475"
".Warrick County, Indiana","63,898","63,966","64,514"
".Washington County, Indiana","28,182","28,220","28,102"
".Wayne County, Indiana","66,553","66,455","66,456"
".Wells County, Indiana","28,180","28,179","28,197"
".White County, Indiana","24,688","24,636","24,651"
".Whitley County, Indiana","34,191","34,316","34,430"
".Adair County, Iowa","7,496","7,477","7,541"
".Adams County, Iowa","3,704","3,697","3,641"
".Allamakee County, Iowa","14,061","14,067","13,926"
".Appanoose County, Iowa","12,317","12,282","12,257"
".Audubon County, Iowa","5,674","5,671","5,635"
".Benton County, Iowa","25,575","25,536","25,691"
".Black Hawk County, Iowa","131,144","130,980","130,368"
".Boone County, Iowa","26,715","26,691","26,723"
".Bremer County, Iowa","24,988","24,974","25,081"
".Buchanan County, Iowa","20,565","20,586","20,657"
".Buena Vista County, Iowa","20,823","20,776","20,771"
".Butler County, Iowa","14,334","14,311","14,332"
".Calhoun County, Iowa","9,927","9,886","9,915"
".Carroll County, Iowa","20,760","20,702","20,692"
".Cass County, Iowa","13,127","13,104","13,050"
".Cedar County, Iowa","18,505","18,495","18,410"
".Cerro Gordo County, Iowa","43,127","42,965","42,706"
".Cherokee County, Iowa","11,658","11,632","11,503"
".Chickasaw County, Iowa","12,012","11,970","11,887"
".Clarke County, Iowa","9,748","9,726","9,785"
".Clay County, Iowa","16,384","16,333","16,440"
".Clayton County, Iowa","17,043","16,996","16,998"
".Clinton County, Iowa","46,460","46,418","46,463"
".Crawford County, Iowa","16,525","16,453","16,193"
".Dallas County, Iowa","99,678","100,486","103,796"
".Davis County, Iowa","9,110","9,109","9,138"
".Decatur County, Iowa","7,645","7,610","7,659"
".Delaware County, Iowa","17,488","17,458","17,510"
".Des Moines County, Iowa","38,910","38,831","38,491"
".Dickinson County, Iowa","17,703","17,747","17,851"
".Dubuque County, Iowa","99,266","99,229","98,718"
".Emmet County, Iowa","9,388","9,332","9,321"
".Fayette County, Iowa","19,509","19,399","19,258"
".Floyd County, Iowa","15,627","15,552","15,413"
".Franklin County, Iowa","10,019","9,983","9,952"
".Fremont County, Iowa","6,605","6,560","6,567"
".Greene County, Iowa","8,771","8,746","8,717"
".Grundy County, Iowa","12,329","12,312","12,347"
".Guthrie County, Iowa","10,623","10,612","10,567"
".Hamilton County, Iowa","15,039","15,020","14,887"
".Hancock County, Iowa","10,795","10,757","10,663"
".Hardin County, Iowa","16,878","16,821","16,708"
".Harrison County, Iowa","14,582","14,546","14,669"
".Henry County, Iowa","20,482","20,412","20,387"
".Howard County, Iowa","9,469","9,487","9,478"
".Humboldt County, Iowa","9,597","9,595","9,634"
".Ida County, Iowa","7,005","7,007","6,956"
".Iowa County, Iowa","16,662","16,679","16,568"
".Jackson County, Iowa","19,485","19,437","19,368"
".Jasper County, Iowa","37,813","37,802","37,764"
".Jefferson County, Iowa","15,663","15,659","15,647"
".Johnson County, Iowa","152,854","152,984","154,748"
".Jones County, Iowa","20,646","20,647","20,805"
".Keokuk County, Iowa","10,033","9,995","9,914"
".Kossuth County, Iowa","14,828","14,786","14,529"
".Lee County, Iowa","33,555","33,512","33,215"
".Linn County, Iowa","230,299","230,263","228,939"
".Louisa County, Iowa","10,837","10,806","10,749"
".Lucas County, Iowa","8,634","8,615","8,710"
".Lyon County, Iowa","11,934","11,917","12,011"
".Madison County, Iowa","16,548","16,626","16,773"
".Mahaska County, Iowa","22,190","22,148","21,984"
".Marion County, Iowa","33,414","33,377","33,380"
".Marshall County, Iowa","40,105","40,059","39,853"
".Mills County, Iowa","14,484","14,405","14,465"
".Mitchell County, Iowa","10,565","10,582","10,555"
".Monona County, Iowa","8,751","8,742","8,574"
".Monroe County, Iowa","7,577","7,582","7,610"
".Montgomery County, Iowa","10,330","10,335","10,322"
".Muscatine County, Iowa","43,235","43,113","42,688"
".O'Brien County, Iowa","14,182","14,154","14,015"
".Osceola County, Iowa","6,192","6,189","6,159"
".Page County, Iowa","15,211","15,180","15,197"
".Palo Alto County, Iowa","8,996","8,961","8,906"
".Plymouth County, Iowa","25,698","25,681","25,650"
".Pocahontas County, Iowa","7,078","7,075","7,074"
".Polk County, Iowa","492,401","492,769","496,844"
".Pottawattamie County, Iowa","93,667","93,560","93,304"
".Poweshiek County, Iowa","18,662","18,643","18,586"
".Ringgold County, Iowa","4,663","4,639","4,639"
".Sac County, Iowa","9,814","9,791","9,752"
".Scott County, Iowa","174,669","174,488","174,170"
".Shelby County, Iowa","11,746","11,699","11,770"
".Sioux County, Iowa","35,872","35,869","35,893"
".Story County, Iowa","98,537","98,615","99,472"
".Tama County, Iowa","17,135","17,072","16,867"
".Taylor County, Iowa","5,896","5,861","5,868"
".Union County, Iowa","12,138","12,097","12,018"
".Van Buren County, Iowa","7,203","7,204","7,243"
".Wapello County, Iowa","35,437","35,341","35,256"
".Warren County, Iowa","52,403","52,548","53,402"
".Washington County, Iowa","22,565","22,511","22,491"
".Wayne County, Iowa","6,497","6,509","6,508"
".Webster County, Iowa","36,999","36,954","37,147"
".Winnebago County, Iowa","10,679","10,650","10,656"
".Winneshiek County, Iowa","20,070","20,031","19,892"
".Woodbury County, Iowa","105,941","105,829","105,607"
".Worth County, Iowa","7,443","7,425","7,385"
".Wright County, Iowa","12,943","12,914","12,785"
".Allen County, Kansas","12,526","12,537","12,464"
".Anderson County, Kansas","7,836","7,850","7,778"
".Atchison County, Kansas","16,348","16,305","16,239"
".Barber County, Kansas","4,228","4,198","4,110"
".Barton County, Kansas","25,493","25,419","25,216"
".Bourbon County, Kansas","14,360","14,333","14,323"
".Brown County, Kansas","9,508","9,473","9,455"
".Butler County, Kansas","67,380","67,401","67,889"
".Chase County, Kansas","2,572","2,564","2,598"
".Chautauqua County, Kansas","3,379","3,386","3,395"
".Cherokee County, Kansas","19,362","19,275","19,130"
".Cheyenne County, Kansas","2,616","2,620","2,633"
".Clark County, Kansas","1,991","1,973","1,977"
".Clay County, Kansas","8,117","8,112","8,077"
".Cloud County, Kansas","9,032","8,988","8,928"
".Coffey County, Kansas","8,360","8,370","8,338"
".Comanche County, Kansas","1,689","1,681","1,670"
".Cowley County, Kansas","34,549","34,498","34,496"
".Crawford County, Kansas","38,972","38,930","39,110"
".Decatur County, Kansas","2,764","2,749","2,751"
".Dickinson County, Kansas","18,402","18,353","18,459"
".Doniphan County, Kansas","7,510","7,469","7,471"
".Douglas County, Kansas","118,785","118,814","119,363"
".Edwards County, Kansas","2,907","2,898","2,832"
".Elk County, Kansas","2,483","2,475","2,441"
".Ellis County, Kansas","28,934","28,931","28,790"
".Ellsworth County, Kansas","6,376","6,354","6,336"
".Finney County, Kansas","38,470","38,297","38,107"
".Ford County, Kansas","34,287","34,206","34,159"
".Franklin County, Kansas","25,996","26,028","25,986"
".Geary County, Kansas","36,739","36,747","35,934"
".Gove County, Kansas","2,718","2,694","2,755"
".Graham County, Kansas","2,415","2,405","2,400"
".Grant County, Kansas","7,352","7,327","7,324"
".Gray County, Kansas","5,653","5,633","5,644"
".Greeley County, Kansas","1,284","1,277","1,304"
".Greenwood County, Kansas","6,016","5,972","5,939"
".Hamilton County, Kansas","2,518","2,494","2,484"
".Harper County, Kansas","5,485","5,461","5,331"
".Harvey County, Kansas","34,024","33,942","33,817"
".Haskell County, Kansas","3,780","3,756","3,668"
".Hodgeman County, Kansas","1,723","1,718","1,710"
".Jackson County, Kansas","13,232","13,230","13,261"
".Jefferson County, Kansas","18,368","18,300","18,411"
".Jewell County, Kansas","2,932","2,926","2,937"
".Johnson County, Kansas","609,863","610,536","613,219"
".Kearny County, Kansas","3,983","3,971","3,891"
".Kingman County, Kansas","7,470","7,446","7,392"
".Kiowa County, Kansas","2,460","2,452","2,392"
".Labette County, Kansas","20,184","20,119","19,912"
".Lane County, Kansas","1,574","1,568","1,565"
".Leavenworth County, Kansas","81,881","81,870","82,184"
".Lincoln County, Kansas","2,939","2,947","2,903"
".Linn County, Kansas","9,591","9,582","9,747"
".Logan County, Kansas","2,762","2,743","2,722"
".Lyon County, Kansas","32,179","32,100","31,998"
".McPherson County, Kansas","30,223","30,160","30,146"
".Marion County, Kansas","11,823","11,754","11,712"
".Marshall County, Kansas","10,038","10,014","9,979"
".Meade County, Kansas","4,055","4,045","4,022"
".Miami County, Kansas","34,191","34,183","34,593"
".Mitchell County, Kansas","5,796","5,764","5,748"
".Montgomery County, Kansas","31,486","31,360","31,156"
".Morris County, Kansas","5,386","5,360","5,356"
".Morton County, Kansas","2,701","2,695","2,692"
".Nemaha County, Kansas","10,273","10,218","10,216"
".Neosho County, Kansas","15,904","15,909","15,784"
".Ness County, Kansas","2,687","2,678","2,672"
".Norton County, Kansas","5,459","5,435","5,342"
".Osage County, Kansas","15,766","15,724","15,768"
".Osborne County, Kansas","3,500","3,494","3,498"
".Ottawa County, Kansas","5,735","5,733","5,838"
".Pawnee County, Kansas","6,253","6,244","6,225"
".Phillips County, Kansas","4,981","4,953","4,815"
".Pottawatomie County, Kansas","25,348","25,392","25,790"
".Pratt County, Kansas","9,157","9,151","9,181"
".Rawlins County, Kansas","2,561","2,555","2,549"
".Reno County, Kansas","61,898","61,808","61,414"
".Republic County, Kansas","4,674","4,680","4,662"
".Rice County, Kansas","9,427","9,374","9,390"
".Riley County, Kansas","71,959","71,996","72,208"
".Rooks County, Kansas","4,919","4,894","4,831"
".Rush County, Kansas","2,956","2,944","2,953"
".Russell County, Kansas","6,691","6,672","6,703"
".Saline County, Kansas","54,303","54,232","53,888"
".Scott County, Kansas","5,151","5,137","5,131"
".Sedgwick County, Kansas","523,824","524,246","523,828"
".Seward County, Kansas","21,964","21,832","21,747"
".Shawnee County, Kansas","178,909","178,608","178,264"
".Sheridan County, Kansas","2,447","2,442","2,478"
".Sherman County, Kansas","5,927","5,882","5,895"
".Smith County, Kansas","3,570","3,559","3,576"
".Stafford County, Kansas","4,072","4,064","4,034"
".Stanton County, Kansas","2,084","2,072","2,044"
".Stevens County, Kansas","5,250","5,236","5,293"
".Sumner County, Kansas","22,382","22,332","22,385"
".Thomas County, Kansas","7,930","7,916","7,877"
".Trego County, Kansas","2,808","2,808","2,793"
".Wabaunsee County, Kansas","6,877","6,885","6,966"
".Wallace County, Kansas","1,512","1,514","1,508"
".Washington County, Kansas","5,530","5,526","5,511"
".Wichita County, Kansas","2,152","2,144","2,082"
".Wilson County, Kansas","8,624","8,577","8,526"
".Woodson County, Kansas","3,115","3,103","3,102"
".Wyandotte County, Kansas","169,245","168,873","167,046"
".Adair County, Kentucky","18,903","18,870","18,932"
".Allen County, Kentucky","20,588","20,595","20,797"
".Anderson County, Kentucky","23,852","23,869","24,035"
".Ballard County, Kentucky","7,728","7,724","7,695"
".Barren County, Kentucky","44,485","44,445","44,544"
".Bath County, Kentucky","12,750","12,708","12,778"
".Bell County, Kentucky","24,097","23,942","23,858"
".Boone County, Kentucky","135,968","136,403","137,412"
".Bourbon County, Kentucky","20,252","20,285","20,229"
".Boyd County, Kentucky","48,261","48,175","47,899"
".Boyle County, Kentucky","30,614","30,701","30,747"
".Bracken County, Kentucky","8,400","8,390","8,439"
".Breathitt County, Kentucky","13,718","13,679","13,553"
".Breckinridge County, Kentucky","20,432","20,432","20,651"
".Bullitt County, Kentucky","82,217","82,293","82,918"
".Butler County, Kentucky","12,371","12,318","12,294"
".Caldwell County, Kentucky","12,649","12,632","12,624"
".Calloway County, Kentucky","37,103","37,147","37,560"
".Campbell County, Kentucky","93,076","93,086","93,050"
".Carlisle County, Kentucky","4,826","4,811","4,791"
".Carroll County, Kentucky","10,810","10,833","10,863"
".Carter County, Kentucky","26,627","26,575","26,412"
".Casey County, Kentucky","15,941","15,886","15,866"
".Christian County, Kentucky","72,748","72,696","72,357"
".Clark County, Kentucky","36,972","36,999","36,871"
".Clay County, Kentucky","20,345","20,294","20,206"
".Clinton County, Kentucky","9,253","9,216","9,265"
".Crittenden County, Kentucky","8,990","8,985","8,947"
".Cumberland County, Kentucky","5,888","5,856","5,879"
".Daviess County, Kentucky","103,312","103,291","103,063"
".Edmonson County, Kentucky","12,126","12,132","12,291"
".Elliott County, Kentucky","7,354","7,334","7,381"
".Estill County, Kentucky","14,163","14,134","14,092"
".Fayette County, Kentucky","322,570","322,403","321,793"
".Fleming County, Kentucky","15,082","15,091","15,224"
".Floyd County, Kentucky","35,942","35,756","35,274"
".Franklin County, Kentucky","51,541","51,569","51,682"
".Fulton County, Kentucky","6,515","6,501","6,512"
".Gallatin County, Kentucky","8,690","8,667","8,775"
".Garrard County, Kentucky","16,953","16,935","17,362"
".Grant County, Kentucky","24,941","25,008","25,244"
".Graves County, Kentucky","36,649","36,512","36,615"
".Grayson County, Kentucky","26,420","26,410","26,524"
".Green County, Kentucky","11,107","11,112","11,291"
".Greenup County, Kentucky","35,962","35,852","35,649"
".Hancock County, Kentucky","9,095","9,092","9,064"
".Hardin County, Kentucky","110,702","110,719","111,607"
".Harlan County, Kentucky","26,831","26,689","26,164"
".Harrison County, Kentucky","18,692","18,705","18,950"
".Hart County, Kentucky","19,288","19,271","19,460"
".Henderson County, Kentucky","44,793","44,645","44,329"
".Henry County, Kentucky","15,678","15,666","15,657"
".Hickman County, Kentucky","4,521","4,521","4,424"
".Hopkins County, Kentucky","45,423","45,367","45,138"
".Jackson County, Kentucky","12,955","12,951","12,984"
".Jefferson County, Kentucky","782,969","782,123","777,874"
".Jessamine County, Kentucky","52,991","52,972","53,626"
".Johnson County, Kentucky","22,680","22,634","22,556"
".Kenton County, Kentucky","169,064","169,183","169,495"
".Knott County, Kentucky","14,251","14,160","14,053"
".Knox County, Kentucky","30,193","30,135","29,909"
".Larue County, Kentucky","14,867","14,870","15,028"
".Laurel County, Kentucky","62,613","62,662","62,561"
".Lawrence County, Kentucky","16,293","16,288","16,290"
".Lee County, Kentucky","7,395","7,360","7,451"
".Leslie County, Kentucky","10,513","10,455","10,278"
".Letcher County, Kentucky","21,548","21,428","21,253"
".Lewis County, Kentucky","13,080","13,061","12,987"
".Lincoln County, Kentucky","24,275","24,238","24,243"
".Livingston County, Kentucky","8,888","8,845","8,959"
".Logan County, Kentucky","27,432","27,497","27,771"
".Lyon County, Kentucky","8,680","8,664","8,803"
".McCracken County, Kentucky","67,875","67,836","67,454"
".McCreary County, Kentucky","16,888","16,851","16,892"
".McLean County, Kentucky","9,152","9,114","9,100"
".Madison County, Kentucky","92,701","92,920","94,666"
".Magoffin County, Kentucky","11,637","11,594","11,497"
".Marion County, Kentucky","19,581","19,580","19,725"
".Marshall County, Kentucky","31,659","31,665","31,748"
".Martin County, Kentucky","11,287","11,228","11,140"
".Mason County, Kentucky","17,120","17,085","16,931"
".Meade County, Kentucky","30,003","29,981","30,131"
".Menifee County, Kentucky","6,113","6,115","6,194"
